Computational geometry
TCS-0331 [index;problem_family;uncertain] Treewidth of 3-Manifolds
TCS-2752 [index;source_question_passage;uncertain] A Unifying Approach to Efficient (Near)-Gathering of Disoriented Robots with Limited Visibility | Thus, we conjecture that Ω ∆2 is a lower bound for every protocol that considers oblivious and disoriented robots with limited visibility.
TCS-2763 [index;source_question_passage;uncertain] On Cyclic Solutions to the Min-Max Latency Multi-Robot Patrolling Problem | For the k-robot patrolling problem with min-max latency, there is a cyclic solution that is optimal.
TCS-2767 [index;source_question_passage;uncertain] Disjointness Graphs of Short Polygonal Chains | The class of disjointness graphs of single-crossing polygonal 2-chains is χ-bounded.
TCS-2861 [index;source_question_passage;uncertain] Submodular Dominance and Applications | For example, can we efficiently sample from a WNR/NA/NR distribution for any marginals in a given matroid polytope?
TCS-2875 [index;source_question_passage;uncertain] Fast Computation of Zigzag Persistence | Can the FastZigzag algorithm be adapted so that representatives for the input zigzag filtration are recovered from representatives for the converted non-zigzag filtration?
TCS-2876 [index;source_question_passage;uncertain] TSP in a Simple Polygon | What about tsp with obstacles in higher dimensions?
TCS-2879 [index;source_question_passage;uncertain] Computing Smallest Convex Intersecting Polygons | Is there a polynomial-time approximation scheme for the minimum volume or minimum surface area convex intersecting polytope of convex polytopes in R3 ?
TCS-2909 [index;source_question_passage;uncertain] The Dispersive Art Gallery Problem | What can be said about the dispersive art gallery problem in terrains, or general polygons?
TCS-2931 [index;source_question_passage;uncertain] Unlabeled Multi-Robot Motion Planning with Tighter Separation Bounds | What challenges arise when the workspace is no longer simple, but rather contains obstacles?
TCS-2935 [index;source_question_passage;uncertain] Weak Coloring Numbers of Intersection Graphs | What is the asymptotic behavior of the k-th weak coloring numbers of planar graphs?
TCS-2936 [index;source_question_passage;uncertain] Parameterised Partially-Predrawn Crossing Number | For instance, what can we say about the minimal graphs of a certain crossing-number value?
TCS-2952 [index;source_question_passage;uncertain] Improved Hardness of BDD and SVP Under Gap-(S)ETH | That is, empirically it seems that we do not lose anything by fixing t = 1/2 and only varying r.6 We leave proving this as […]
TCS-2978 [index;source_question_passage;uncertain] Erdős-Szekeres-Type Problems in the Real Projective Plane | Is the maximum size T p (n) of a projective crossing family in a set of n points from RP 2 in general position in […]
TCS-2979 [index;source_question_passage;uncertain] The Degree-Rips Complexes of an Annulus with Outliers | Finally, a reviewer posed the following question: is there a density on the disc that is rotationally invariant and monotone in the radius such that […]
TCS-2982 [index;source_question_passage;uncertain] A Finite Algorithm for the Realizabilty of a Delaunay Triangulation | If yes, does even the representation of these integers need to be exponential in the input size?
TCS-2993 [index;source_question_passage;uncertain] Covering Points by Hyperplanes and Related Problems | For example, are there variants of our assumptions, in d ≥ 4 dimensions, that imply the existence of an even lower-dimensional flat that contain many […]
TCS-2994 [index;source_question_passage;uncertain] Shadows of Newton Polytopes | If not, is it true when f in (7) is required to have convexly independent support?
TCS-3035 [index;source_question_passage;uncertain] Distant Representatives for Rectangles in the Plane | What about weighted versions of distant representatives?
TCS-3045 [index;source_question_passage;uncertain] Taming the Knight’s Tour: Minimizing Turns and Crossings | We conjecture that the minimum number of turns is at least 8n.
TCS-3059 [index;source_question_passage;uncertain] On Greedily Packing Anchored Rectangles | We leave as a major open question to find new algorithms for LLARP that might tackle the 50% conjecture.
TCS-3097 [index;source_question_passage;uncertain] Colouring Polygon Visibility Graphs and Their Generalizations | Ordered curve pseudo-visibility graphs can be recognized in polynomial time.
TCS-3098 [index;source_question_passage;uncertain] The Density Fingerprint of a Periodic Point Set | Short of proving completeness beyond the generic case, we leave the completeness of the density fingerprint map for all periodic sets as an open question.
TCS-3100 [index;source_question_passage;uncertain] On Guillotine Separable Packings for the Two-Dimensional Geometric Knapsack Problem | We conjecture that the worst-case ratio between the optimal profit of 2GGK and 2GK is 4/3.
TCS-3101 [index;source_question_passage;uncertain] Restricted Constrained Delaunay Triangulations | It is an open problem to design an algorithm that runs in 𝑂 (|𝑉 | 2 ) time or better.
TCS-3102 [index;source_question_passage;uncertain] Chasing Puppies: Mobile Beacon Routing on Closed Curves | In fact, if minimizing distance is not a concern, we conjecture that no reversals are necessary.
TCS-3103 [index;source_question_passage;uncertain] Near Neighbor Search via Efficient Average Distortion Embeddings | We leave finding such an algorithm, even for the case of Schatten-p norms with p ≥ 2, as an open problem.
TCS-3104 [index;source_question_passage;uncertain] An Optimal Deterministic Algorithm for Geodesic Farthest-Point Voronoi Diagrams in Simple Polygons | However, when we invoke the procedure during the geodesic sweeping algorithm we do not know whether the assumption is true.
TCS-3124 [index;source_question_passage;uncertain] Dynamic Colored Orthogonal Range Searching | Even for the static problem, we do not know how to get O(polylog n + k) query time with O(n polylog n) space; current techniques […]
TCS-3139 [index;source_question_passage;uncertain] Tracing Isomanifolds in ℝ^d in Time Polynomial in d Using Coxeter-Freudenthal-Kuhn Triangulations | It remains open whether general smooth manifolds embedded in Rd can be triangulated in time polynomial in d as we were able to do here […]
TCS-3160 [index;source_question_passage;uncertain] Enclosing Depth and Other Depth Measures | While this conjecture remains open, we hope that our results might be useful for an eventual proof.
TCS-3193 [index;source_question_passage;uncertain] Efficient Algorithms for Least Square Piecewise Polynomial Regression | Is there a subqudratic time algorithm, or is there a (conditional or unconditional) near-quadratic lower bound?
TCS-3194 [index;source_question_passage;uncertain] The Visibility Center of a Simple Polygon | How hard is it to find the farthest visibility Voronoi diagram of a polygon?
TCS-3201 [index;source_question_passage;uncertain] An Output-Sensitive Algorithm for Computing the Union of Cubes and Fat Boxes in 3D | In particular, can the union of n hypercubes in R4 be computed in O(n polylog(n) + κ) time?
TCS-3210 [index;source_question_passage;uncertain] MAX CUT in Weighted Random Intersection Graphs and Discrepancy of Sparse Random Set Systems | Towards strengthening the connection between Weighted Max Cut under the G n,m,p model, and Discrepancy in random set systems, we conjecture the following:
TCS-3215 [index;source_question_passage;uncertain] Computing Shapley Values for Mean Width in 3-D | How fast can we find a coreset?
TCS-3216 [index;source_question_passage;uncertain] Connected Coordinated Motion Planning with Bounded Stretch | Is it possible to achieve constant stretch for arrangements with very small scale factor?
TCS-3238 [index;source_question_passage;uncertain] Obstructing Classification via Projection | Are there other types of separability that also have the Helly-type property used in Theorem 8?
TCS-3253 [index;source_question_passage;uncertain] Counting Cells of Order-k Voronoi Tessellations in ℝ³ with Morse Theory | Can the inductive approach be generalized to sets beyond 3 dimensions?
TCS-3254 [index;source_question_passage;uncertain] On Ray Shooting for Triangles in 3-Space and Related Problems | Ideally, can we obtain query time of O(n1+ε /s1/3 ), with s storage, as in the case of ray shooting amid planes?
TCS-3255 [index;source_question_passage;uncertain] Polygon-Universal Graphs | Can a similar characterization be achieved in the presence of holes?
TCS-3263 [index;source_question_passage;uncertain] Using a Geometric Lens to Find k Disjoint Shortest Paths | Thus, if there are no k disjoint shortest paths, then computing k disjoint paths minimizing their total length in polynomial time is still an open […]
TCS-3272 [index;source_question_passage;uncertain] Throwing a Sofa Through the Window | One such direction is to show that the near-quartic upper bound, established in Section 8, on the cost of the general motion planning problem for […]
TCS-3273 [index;source_question_passage;uncertain] A Sparse Delaunay Filtration | Rounding the weights simplifies the proofs, but it is an open question as to whether it is necessary for the correctness of the construction. α […]
TCS-3283 [index;source_question_passage;uncertain] Stability Yields Sublinear Time Algorithms for Geometric Optimization in Machine Learning | In particular, can we provide a lower bound for the complexity of computing covering approximate MEB, as the lower bound result for radius approximate MEB […]
TCS-3293 [index;source_question_passage;uncertain] Clique-Based Separators for Geometric Intersection Graphs | Does this mean that the two graph classes are related in some natural way?
TCS-3302 [index;source_question_passage;uncertain] Online Packing to Minimize Area or Perimeter | For the problem of minimizing the perimeter of the bounding box (or convex hull) with convex polygons as pieces and only translations allowed, we do […]
TCS-3367 [index;source_question_passage;uncertain] Layered Fan-Planar Graph Drawings | What is the pathwidth of a graph that has a 1-planar h-layer drawing?
TCS-3369 [index;source_question_passage;uncertain] Some Open Problems in Computational Geometry (Invited Talk) | In contrast, we do not know whether the problem can be solved in polynomial time in the annular domain.
TCS-3385 [index;source_question_passage;uncertain] An Almost Optimal Bound on the Number of Intersections of Two Simple Polygons | As indicated in the figure, we leave it open whether and where A3 intersects `3 .
TCS-3407 [index;source_question_passage;uncertain] Finding Optimal Triangulations Parameterized by Edge Clique Cover | The main idea to make the algorithm work when we do not know the edge clique cover is to just check if there are at […]
TCS-3423 [index;source_question_passage;uncertain] The ε-t-Net Problem | However, we conjecture that in any “reasonable” setting, (including, e.g., all the geometric scenarios discussed in Section 5, and all hypergraphs with hereditarily small -nets), […]
TCS-3448 [index;source_question_passage;uncertain] Computing Low-Cost Convex Partitions for Planar Point Sets with Randomized Local Search and Constraint Programming (CG Challenge) | Is it possible to prove theoretical guarantees about the performance of this algorithm on random point sets or in general?
TCS-3498 [index;source_question_passage;uncertain] Between Shapes, Using the Hausdorff Distance | For example, when both input sets are one-dimensional curves, is there a natural way to define a Hausdorff middle curve that is also 1-dimensional?
TCS-3503 [index;source_question_passage;uncertain] Sparse Hop Spanners for Unit Disk Graphs | Are there n-element point sets for which every 2-hop spanner has ω(n) edges?
TCS-3533 [index;source_question_passage;uncertain] Finding Closed Quasigeodesics on Convex Polyhedra | Are all of those necessary?
TCS-3538 [index;source_question_passage;uncertain] Terrain Visibility Graphs: Persistence Is Not Enough | What additional properties must the graph satisfy?
TCS-3539 [index;source_question_passage;uncertain] The Spiroplot App (Media Exposition) | How should we define 3D spiroplots?
TCS-3540 [index;source_question_passage;uncertain] Hiding Sliding Cubes: Why Reconfiguring Modular Robots Is Not Easy (Media Exposition) | Is there an example that uses only one void?
TCS-3627 [index;source_question_passage;uncertain] On One-Round Discrete Voronoi Games | We conjecture that in the multi-round version of the discrete version, finding an optimal strategy is PSPACE-hard as well.
TCS-3634 [index;source_question_passage;uncertain] On the Stretch Factor of Polygonal Chains | The existence of such data structures is conjectured [2], but currently remains open.
TCS-3648 [index;source_question_passage;uncertain] Lower Bounds for Electrical Reduction on Surfaces | Like Gitler [20], Feo and Provan [19], and Archdeacon et al. [2], we conjecture that O(n3/2 ) facial electrical transformations suffice.
TCS-3650 [index;source_question_passage;uncertain] Circumscribing Polygons and Polygonizations for Disjoint Line Segments | We conjecture that disjoint segments with two distinct slopes still admit a circumscribing polygon.
TCS-3667 [index;source_question_passage;uncertain] Universal Reconfiguration of Facet-Connected Modular Robots by Pivots: The O(1) Musketeers | We conjecture that a similar approach will also work for general 3-dimensional configurations, potentially after increasing the number of musketeer modules to bridge larger gaps […]
TCS-3682 [index;source_question_passage;uncertain] Unbounded Regions of High-Order Voronoi Diagrams of Lines and Segments in Higher Dimensions | It remains an open problem to determine whether or not the lower bounds on the complexity of VDk and GM(VDk ) for segments, as listed […]
TCS-3747 [index;source_question_passage;uncertain] Approximating Distance Measures for the Skyline | However, it is an open question whether we can exploit the geometric properties of the
TCS-3755 [index;source_question_passage;uncertain] How Does Object Fatness Impact the Complexity of Packing in d Dimensions? | What is the precise impact of the stabbing number on the complexity of packing if objects are not similarly sized?
TCS-3777 [index;source_question_passage;uncertain] Computing Shapley Values in the Plane | Is there also a FPRAS for computing the Shapley values of the game defined using the Euclidean MST?
TCS-3780 [index;source_question_passage;uncertain] On the Complexity of the k-Level in Arrangements of Pseudoplanes | For example, can we obtain a sharp bound in four dimensions, similar to the bound in Sharir [14] for k-sets in R4 ?
TCS-3795 [index;source_question_passage;uncertain] A Spanner for the Day After | It seems clear that our construction for the unbounded case is suboptimal in terms of extra factors, and we leave improving it as an open […]
TCS-3825 [index;source_question_passage;uncertain] Counting Polygon Triangulations is Hard | Is the dependence on h in the exponent of n necessary, or is there a fixed-parameter tractable algorithm for this problem?
TCS-3883 [index;source_question_passage;uncertain] Approximating Dominating Set on Intersection Graphs of Rectangles and L-frames | Or, does the problem admit a PTAS?
TCS-3902 [index;source_question_passage;uncertain] Deletion in Abstract Voronoi Diagrams in Expected Linear Time | Updating an abstract Voronoi diagram, after deletion of one site, in deterministic linear time remains an open problem.
TCS-3974 [index;source_question_passage;uncertain] Improved Routing on the Delaunay Triangulation | The question remains, what other algorithms or analysis can we use to improve the routing ratio of the Delaunay triangulation?
TCS-3994 [index;source_question_passage;uncertain] The Parameterized Complexity of Finding Point Sets with Hereditary Properties | Can it be hard, for such a property, to find a k-point subset with the property?
TCS-4020 [index;source_question_passage;uncertain] Boundary Labeling for Rectangular Diagrams | Can we check the feasibility in near-linear time?
TCS-4023 [index;source_question_passage;uncertain] Realizations of Indecomposable Persistence Modules of Arbitrarily Large Dimension | More generally, for representation tame commutative grids, could we realize parametrized families that generate all indecomposables?
TCS-4024 [index;source_question_passage;uncertain] Coordinated Motion Planning: Reconfiguring a Swarm of Labeled Robots with Bounded Stretch | What is the critical separability of disks for which constant stretch can be achieved?
TCS-4025 [index;source_question_passage;uncertain] Discrete Stratified Morse Theory: A User's Guide | That is, can we define a discrete stratified Morse function so that its critical simplices contain the critical points of the function F ?
TCS-4026 [index;source_question_passage;uncertain] Random Walks on Polytopes of Constant Corank | It remains an open question whether one can obtain good upper bounds for the
TCS-4062 [index;source_question_passage;uncertain] Further Consequences of the Colorful Helly Hypothesis | For example, does the theorem still hold with f 0 (d) = 1 and large enough g 0 (d), as it happens for d = […]
TCS-4086 [index;source_question_passage;uncertain] Finding Axis-Parallel Rectangles of Fixed Perimeter or Area Containing the Largest Number of Points | It is an open problem to get an output sensitive bound, similar to the one in Theorem 4, for the case of area.
TCS-4107 [index;source_question_passage;uncertain] Routing on the Visibility Graph | Hence, designing an algorithm that is competitive with respect to the shortest path remains open.
TCS-4128 [index;source_question_passage;uncertain] Declutter and Resample: Towards Parameter Free Denoising | The problem of parameter-free denoising under more general sampling conditions remains open.
TCS-4129 [index;source_question_passage;uncertain] From Crossing-Free Graphs on Wheel Sets to Embracing Simplices and Polytopes with Few Vertices | Doing so for d + 4 vertices, however, remains an open problem.
TCS-4130 [index;source_question_passage;uncertain] Ruler of the Plane - Games of Geometry (Multimedia Contribution) | It would be possible to generate additional levels based on random instances, but the question of generating challenging levels remains open.
TCS-4156 [index;source_question_passage;uncertain] Conflict-Free Coloring of Intersection Graphs | In addition to closing the worst-case gap for unit disks (and proving Conjecture 6), the worst-case conflict-free chromatic number for unit square graphs also remains […]
TCS-4170 [index;source_question_passage;uncertain] Meeting in a Polygon by Anonymous Oblivious Robots | However, a complete solution for these and other searcher models remains an open problem.
TCS-4180 [index;source_question_passage;uncertain] Lower Bounds for Differential Privacy from Gaussian Width | It is an open problem whether this bound can be improved to m log 2m.
TCS-4209 [index;source_question_passage;uncertain] Contraction-Bidimensionality of Geometric Intersection Graphs | Can SQGC(1) be useful as an intuitive definition of the “flatness” concept?
TCS-4210 [index;source_question_passage;uncertain] Routing in Polygonal Domains | A final open question concerns routing schemes in general: what is the time needed by a data packet to travel through the graph?
TCS-4212 [index;source_question_passage;uncertain] Crossing Number for Graphs with Bounded~Pathwidth | Can we approximate cr(G) for arbitrary (not maximal) pathwidth-w-graphs?
TCS-4236 [index;source_question_passage;uncertain] Computing the Geometric Intersection Number of Curves | Is there an algorithm to construct or detect combinatorial immersions that have a realization in the configuration of geodesics for some hyperbolic metric?
TCS-4252 [index;source_question_passage;uncertain] Combinatorial Properties and Recognition of Unit Square Visibility Graphs | The hardness of Rec(USVw ) is still open (note that in our reduction, we heavily used the argument that certain constellations yield forbidden edges, which […]
TCS-4269 [index;source_question_passage;uncertain] A Proof of the Orbit Conjecture for Flipping Edge-Labelled Triangulations | What is the complexity of the following flip distance problem for labelled triangulations: Given two labelled triangulations and a number k, is there a flip […]
TCS-4313 [index;source_question_passage;uncertain] Reconstruction of Weakly Simple Polygons from their Edges | It is an open problem to count exactly how many weakly simple polygons can be obtained from the same set of line segments.
TCS-4338 [index;source_question_passage;uncertain] Voronoi Choice Games | We conjecture that determining if a pure Nash equilibrium exists in the k-D Simultaneous Voronoi Game is NP-hard for k ≥ 2; however, we suspect […]
TCS-4348 [index;source_question_passage;uncertain] A Catalog of EXISTS-R-Complete Decision Problems About Nash Equilibria in Multi-Player Games | It remains open whether or not the established ∃R-hardness survives the restriction to r-player win-lose games with r ≥ 3; we note that the corresponding […]
TCS-4352 [index;source_question_passage;uncertain] Delaunay Triangulations on Orientable Surfaces of Low Genus | On a theoretical side, we are planning to reduce the gap between the lower bound 32 and the upper bound 128 in Proposition 24; we […]
TCS-4353 [index;source_question_passage;uncertain] Recognizing Weakly Simple Polygons | It is an open problem to decide efficiently whether a drawing of a graph H is weakly simple, i.e., whether a drawing P of H […]
TCS-4422 [index;source_question_passage;uncertain] Anchored Rectangle and Square Packings | Is there a short proof of Lemma 4?
TCS-4423 [index;source_question_passage;uncertain] On Visibility Representations of Non-Planar Graphs | Secondly, can we characterize for more graph classes exactly when they have a rectangle visibility representation?
TCS-4425 [index;source_question_passage;uncertain] On the Number of Maximum Empty Boxes Amidst n Points | Is there one for the planar version running in O(n logO(1) n) time?
TCS-4426 [index;source_question_passage;uncertain] Hyperplane Separability and Convexity of Probabilistic Point Sets | In particular, can the hyperplane separability problem be solved with running time Õ(nd(d+1)/2e ), instead of O(nd )?
TCS-4427 [index;source_question_passage;uncertain] A Quasilinear-Time Algorithm for Tiling the Plane Isohedrally with a Polyomino | Can it be decided efficiently if a polyomino has a k-isohedral tiling?
TCS-4428 [index;source_question_passage;uncertain] Weak 1/r-Nets for Moving Points | Can we restrict ourselves to points moving polynomially in order to find a kinetic net?
TCS-4455 [index;source_question_passage;uncertain] Coloring Points with Respect to Squares | Is it true that for every convex polygon P there is a constant m := m(P ) such that it is possible to 2-color any […]
TCS-4462 [index;source_question_passage;uncertain] Congruence Testing of Point Sets in 4-Space | The general theme in our algorithm is whether local regularity implies global regularity; in other words, when sufficiently large neighborhoods of all points look the […]
TCS-4484 [index;source_question_passage;uncertain] Star Unfolding from a Geodesic Curve | We leave open the main conjecture that the geodesic star unfolding does not overlap.
TCS-4485 [index;source_question_passage;uncertain] On the Beer Index of Convexity and Its Variants | What can we say about sets S ⊆ R2 that are not p-componentwise simply connected?
TCS-4501 [index;source_question_passage;uncertain] An Automata-Theoretic Approach to the Verification of Distributed Algorithms | We leave open whether round-bounded model checking can deal with full DataPDL, or with properties of the form ∀rings ∃run ∀m ϕ, which are branching-time […]
TCS-4548 [index;source_question_passage;uncertain] 1-String B_2-VPG Representation of Planar Graphs | Somewhat inbetween: is every planar graph the intersection graph of xy-monotone orthogonal curves, preferably in the 1-string model and with few bends?
TCS-4549 [index;source_question_passage;uncertain] Computational Aspects of the Colorful Carathéodory Theorem | Can a perfect colorful choice be computed in polynomial time if we have poly(d) color classes?
TCS-4550 [index;source_question_passage;uncertain] A Fire Fighter’s Problem | How about starting points away from the fire?
TCS-4552 [index;source_question_passage;uncertain] Automorphism Groups of Geometrically Represented Graphs | What is Aut(CIRCULAR-ARC)?
TCS-4574 [index;source_question_passage;uncertain] Lift & Project Systems Performing on the Partial Vertex Cover Polytope | Finally, it is worthwhile mentioning that we do not know whether constant-level L&P tightenings of (t-PVC-LP) derive the SDP of [15].
TCS-4661 [index;source_question_passage;uncertain] Toward a Noncommutative Arithmetic-geometric Mean Inequality: Conjectures, Case-studies, and Consequences | Then we conjecture that the following two inequalities always hold:     Yk Yk Ewo  Aij  ≤ Ewr  Aij  […]
TCS-4667 [index;source_question_passage;uncertain] Conflict-free Chromatic Art Gallery Coverage | What is the tight bound for the simple non-orthogonal polygons?
TCS-4669 [index;source_question_passage;uncertain] On the treewidth and related parameters of random geometric graphs | The immediate natural question that remains open is whether for all values of r = Θ(1), including the values of c1 ≤ r ≤ c2 […]
TCS-5264 [source;;source_open] Linear Time Single-Source Shortest Path Algorithms in Euclidean Graph Classes | Is there a linear time SSSP algorithm for τ -lanky graphs in Rd ?
TCS-5373 [source;;source_open] Brief Announcement: Cooperative Guarding in Polygons with Holes | Is there a more efficient centralized algorithm to compute a cooperative guard set with n+h−2 2 guards?
TCS-5581 [source;;source_open] Finding Large Counterexamples by Selectively Exploring the Pachner Graph | Is there another small Seifert fibre space that admits infinitely many triangulations with no edges isotopic to Seifert fibres?
TCS-5650 [source;;uncertain] Computational Complexity of Swish Is Solved | The second concern is the role of geometric transformations: how does the complexity change when flip and rotation are selectively allowed or forbidden?
TCS-5652 [source;;uncertain] Computing L_∞ Hausdorff Distances Under Translations: The Interplay of Dimensionality, Symmetry and Discreteness | It remains an open problem to settle the full time complexity for any relationship between n and m.
TCS-5707 [source;;source_open] Symmetry Preservation in Swarms of Oblivious Robots with Limited Visibility | It remains an open question to characterize such configurations more clearly (cf.
TCS-5734 [source;;uncertain] The Geometry of Tree-Based Sorting | It remains an open problem whether there exists a measure which is provably superior to any possible measure of disorder.
TCS-5811 [source;;source_open] Disproving Two Conjectures on the Hamiltonicity of Venn Diagrams | What can be said about the asymptotic number of n-Venn diagrams as n grows, or about the proportion of diagrams with certain properties?
TCS-5812 [source;;source_open] Small Independent Sets Versus Small Separator in Geometric Intersection Graphs | What is the complexity of Two Sets Cut–Uncut on intersection graphs of similarly sized β-fat objects in Rd in the unweighted case?
TCS-5828 [source;;source_open] Abstract Color Voronoi Diagrams and Circular Sequences of Color Permutations | Is it possible to apply such advanced algorithmic techniques for faster construction of order-k color Voronoi diagrams, either abstract or concrete?
TCS-5833 [source;;source_open] On Small Pair Decompositions for Point Sets | Which metric spaces, other than Rd , admit a linear-size ABC?
TCS-5865 [source;;source_open] Separating Two Points with Obstacles in the Plane: Improved Upper and Lower Bounds | Are there faster algorithms or stronger lower bounds for the unweighted versions of the problem?
TCS-5869 [source;;uncertain] Eight-Partitioning Points in 3D, and Efficiently Too | It remains an open question whether Theorem 1.2 or our own Theorem 1.3 can also be used to obtain an efficient algorithm for Problem 1.
TCS-5870 [source;;uncertain] Maximum Clique in Disk-Like Intersection Graphs | However we do not know if MIS is even NP-hard in that class.
TCS-5875 [source;;uncertain] Between Shapes, Using the Hausdorff Distance | However, the question whether a polynomial time algorithm exists to compute the Hausdorff distance between general semialgebraic sets remains open [13].
TCS-5879 [source;;source_open] Crossing and Non-Crossing Families | Is it possible to obtain a linear lower bound on k even if m ∈ ω(1)?
TCS-5903 [source;;uncertain] On the Stretch Factor of Polygonal Chains | The lower bound construction does not extend to the case of 1 < c < 4, which remains open.
TCS-5913 [source;;uncertain] Optimal Algorithm for Geodesic Farthest-Point Voronoi Diagrams | It remains open to find a deterministic algorithm with the same running time.
TCS-5942 [source;;uncertain] On Reverse Shortest Paths in Geometric Proximity Graphs | Currently, we do not see how to reduce the dimension, as we could in the previous problems, and leave this as an open challenge.
TCS-5952 [source;;uncertain] Towards Sub-Quadratic Diameter Computation in Geometric Intersection Graphs | It remains an open question whether the complexity of diameter computation is influenced by the presence of these Euclidean weights.
TCS-5971 [source;;source_open] Proofs as Explanations: Short Certificates for Reliable Predictions | Can one construct a set S of Ω(d2 ) points in Rd , and a test point x, such that: (1) no matter which point […]
TCS-5981 [source;;source_open] Disjointness Graphs of Short Polygonal Chains | Do there exist triangle-free disjointness graphs of V-shapes with arbitrarily large fractional chromatic number?
TCS-5985 [source;;uncertain] MAX CUT in Weighted Random Intersection Graphs and Discrepancy of Sparse Random Set Systems | The design of an efficient algorithm that can find a 2- coloring having discrepancy O(1) in this range still remains an open problem.
TCS-5986 [source;;source_open] Unlabeled Multi-Robot Motion Planning with Tighter Separation Bounds | Does the restriction to unit-disc robots and/or simple domains make the problem tractable, in particular if we still enforce some small separation bound?
TCS-5990 [source;;source_open] The Dispersive Art Gallery Problem | What can be said about the ratio between the cardinality of guard sets in optimal solutions for the dispersive and the classic art gallery problem?
TCS-6004 [source;;source_open] On the Complexity of the k-Level in Arrangements of Pseudoplanes | In studying the complexity of a level in an arrangement of more general surfaces, how far can we relax the constraints that these surfaces must […]
TCS-6021 [source;;source_open] Star-Based Separators for Intersection Graphs of c-Colored Pseudo-Segments | Can our star-based √ separators of size O( n) also be used to obtain new algorithms for restricted input families?
TCS-6027 [source;;uncertain] Outer Common Tangents and Nesting of Convex Hulls in Linear Time and Constant Workspace | It remains open whether an outer common tangent of two polygons that are not disjoint can be found in linear time using constant workspace.
TCS-6030 [source;;source_open] The Visibility Center of a Simple Polygon | Is there a more efficient algorithm to find the geodesic center of (sorted) half-polygons?
TCS-6039 [source;;source_open] Local Certification of Geometric Graph Classes | More generally, is it true that all classes of graphs for which the recognition problem is hard for the existential theory of the reals have […]
TCS-6048 [source;;uncertain] Shortest Path to a Segment and Quickest Visibility Queries | We do not know how to take advantage of the fact that windows are quite special – maximal free-space segments anchored at vertices of D.
TCS-6051 [source;;source_open] On the Hardness of Computing an Average Curve | Can a mean be found in polynomial time if the input is binary, but the center restricted to be ternary?
TCS-6053 [source;;uncertain] On the Beer Index of Convexity and Its Variants | We do not know if the linear upper bound in Theorem 5 is best possible.
TCS-6061 [source;;source_open] Finding Closed Quasigeodesics on Convex Polyhedra | Is there an algorithm to find one?
TCS-6066 [source;;source_open] Novel Properties of Hierarchical Probabilistic Partitions and Their Algorithmic Applications | We note that the question of NP-hardness for Euclidean MSD when the dimension d lies between 3 and log n i.e. 3 ≤ d < […]
TCS-6084 [source;;source_open] Circumscribing Polygons and Polygonizations for Disjoint Line Segments | What is the asymptotic growth rate of h(n)?
TCS-6087 [source;;uncertain] Local Criteria for Triangulation of Manifolds | We do not know whether or not our criteria for homeomorphism implicitly imply that M admits a differentiable structure.
TCS-6088 [source;;source_open] Unbounded Regions of High-Order Voronoi Diagrams of Lines and Segments in Higher Dimensions | What is the correct bound and how can the diagram be constructed efficiently?
TCS-6105 [source;;uncertain] Semicomputable Geometry | Whether the Mandelbrot set is computable is an open problem [6], related to a conjecture in complex
TCS-6108 [source;;source_open] From Crossing-Free Graphs on Wheel Sets to Embracing Simplices and Polytopes with Few Vertices | For this application, we do not know if a simple closed form expression for λl,r exists.
TCS-6114 [source;;uncertain] Geometric Avatar Problems | The computational complexity of the problem of computing the avatar minimum convex hull remains an open problem.
TCS-6149 [source;;source_open] On the Number of Maximum Empty Boxes Amidst n Points | Can an upper bound X2 (n) = O(n 2α(n) ) be deduced?
TCS-6152 [source;;source_open] A Quasilinear-Time Algorithm for Tiling the Plane Isohedrally with a Polyomino | Does there exist a polyomino P that has a tiling containing only translations and 180◦ rotations of P and every such tiling is anisohedral?
TCS-6181 [source;;uncertain] Faster Construction of a Planar Distance Oracle with Õ(1) Query Time | First, we are interested in constructing the Voronoi diagram without any restrictions, and second, we do not know how to efficiently compute shortest paths under […]
TCS-6214 [source;;uncertain] Morphing Planar Graph Drawings via Orthogonal Box Drawings | 1 Introduction Algorithms to compute a straight-line drawing of a planar n-vertex graph on an O(n) × O(n) grid have been known since the 1980’s […]
TCS-6235 [source;;source_open] On Flipping the Fréchet Distance | However, the exact connection is yet unclear (see Figure 7), and we leave open the question of what exactly is the relation between the two […]
TCS-6244 [source;;source_open] Three-Chromatic Geometric Hypergraphs | While it is not hard to show that some hypergraphs with high chromatic number often used in constructions can be easily realized by unit balls […]
TCS-6248 [source;;uncertain] Optimal Randomized Clustering of Matrices | We conjecture that this will yield an optimal separating partition of (a large bounded domain of) X, and it remains open to implement the above […]
TCS-6264 [source;;source_open] On the Constructive Dimension Spectrum of Polynomials | If every dimension level set in Euclidean space is path-connected, are such paths differentiable almost everywhere, or are there dimension level sets where every continuous […]
TCS-6278 [source;;uncertain] Worst-Case Efficient Dynamic Geometric Independent Set | However, it does leave open the possibility to have an update operation returning constant-size update sets, which is something we will achieve for the classes […]
TCS-6282 [source;;uncertain] Finding a Shortest Curve That Separates Few Objects from Many | This imposition of geometry seems artificial, but oddly enough, we do not know how to formulate our algorithm in a purely combinatorial setting.
TCS-6288 [source;;uncertain] Colorful Intersections and Tverberg Partitions | The prime power assumption in our Theorem 1 appears to be just an artifact of our proof method, and we conjecture that the theorem also […]
